Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY 50","11,879.20","11,932.65","11,853.95","11,913.45","5.30","0.04","5,489.76","16,548.31","12,103.05","10,333.85","13.65","5.05"
"ZEEL","289.25","307.90","285.45","305.20","17.70","6.16","209.73","628.83","506.90","199.15","-30.29","25.65"
"YESBANK","70.00","73.55","69.15","72.90","3.95","5.73","2,639.48","1,894.88","286.00","29.00","-67.32","81.80"
"BPCL","506.65","519.50","499.00","516.90","14.15","2.81","87.65","448.19","545.00","290.05","77.51","6.37"
"GAIL","126.90","130.80","125.00","130.20","3.15","2.48","128.01","164.52","189.60","119.50","-64.30","3.46"
"TATAMOTORS","169.20","172.95","169.05","171.95","2.90","1.72","221.93","378.94","239.35","106.00","-7.58","34.49"
"ICICIBANK","488.00","499.00","484.60","497.25","7.80","1.59","247.66","1,219.78","499.00","336.00","41.12","15.95"
"INDUSINDBK","1,416.00","1,454.90","1,407.40","1,445.00","22.20","1.56","35.21","504.68","1,834.40","1,188.05","-3.22","15.54"
"INFRATEL","218.30","222.00","213.50","221.30","3.00","1.37","71.80","156.59","335.00","176.35","-14.39","-14.70"
"BAJAJFINSV","8,799.00","8,925.00","8,775.00","8,925.00","106.15","1.20","1.75","155.08","8,950.00","5,516.50","60.84","10.43"
"KOTAKBANK","1,594.90","1,619.40","1,592.00","1,619.00","18.75","1.17","29.24","471.27","1,683.95","1,115.75","40.33","2.11"
"AXISBANK","723.40","735.50","721.20","733.70","8.20","1.13","63.55","463.39","827.75","580.50","20.96","7.34"
"IOC","134.30","135.95","133.70","135.40","1.35","1.01","62.25","84.03","170.75","116.25","0.26","-6.46"
"SBIN","314.70","319.65","313.10","318.85","2.85","0.90","204.92","648.86","373.80","244.35","14.71","24.82"
"TATASTEEL","395.50","403.75","394.00","401.00","3.05","0.77","135.74","543.12","610.60","320.35","-31.20","16.28"
"HDFCBANK","1,252.55","1,268.50","1,250.50","1,265.30","9.70","0.77","71.43","900.46","1,282.70","954.10","-34.13","5.06"
"BHARTIARTL","371.25","373.95","368.25","371.70","2.55","0.69","27.75","102.99","397.00","258.72","25.49","-5.55"
"JSWSTEEL","249.10","253.25","248.05","251.60","1.60","0.64","55.99","140.75","354.35","201.75","-26.98","13.61"
"ADANIPORTS","386.15","389.15","382.50","388.20","2.05","0.53","23.01","89.19","430.60","292.10","18.12","-4.72"
"NTPC","118.95","121.75","117.75","118.00","0.60","0.51","229.43","273.81","145.85","106.67","-22.77","0.21"
"ONGC","138.40","139.75","136.65","138.85","0.55","0.40","70.32","97.40","178.90","115.55","-11.02","2.66"
"COALINDIA","208.95","210.80","205.75","209.70","0.45","0.22","34.85","72.82","271.85","177.70","-20.54","10.31"
"BAJFINANCE","4,160.00","4,188.00","4,142.90","4,167.00","7.55","0.18","7.69","320.59","4,280.00","2,233.10","82.96","7.31"
"HDFC","2,228.00","2,239.80","2,216.00","2,236.15","2.95","0.13","18.35","409.05","2,357.85","1,780.00","24.51","10.99"
"POWERGRID","191.65","193.10","190.35","191.80","0.15","0.08","56.75","109.01","216.25","172.50","3.15","-3.33"
"WIPRO","257.20","257.50","253.40","256.50","0.10","0.04","19.02","48.61","301.60","226.99","-20.67","5.36"
"BAJAJ-AUTO","3,238.00","3,254.00","3,221.00","3,239.80","-5.75","-0.18","2.78","90.10","3,289.00","2,442.20","22.15","9.52"
"TITAN","1,156.75","1,163.75","1,137.65","1,153.65","-3.10","-0.27","23.57","272.02","1,389.95","843.20","28.94","-7.63"
"ULTRACEMCO","4,133.00","4,180.00","4,108.00","4,136.20","-11.05","-0.27","2.76","114.28","4,904.95","3,332.45","10.98","-0.82"
